"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
,01527,경기,안산,상록,팔곡1,팔곡JCT ~ 안산JCT,317.1~322.2,5.1 ,6,수*,"83,258 ","104,376 ","101,146 ","110,638 ","109,417 ","85,441 ","1,028 ","12,328 ","3,358 ","2,915 ","1,778 ","1,303 ",26 ,26 ,925 ,111 ,178 
서해안선,안산 - 금천,,,,,,,14.1 ,,12,"88,653 ","91,145 ","87,965 ","85,157 ","99,453 ","80,849 ",977 ,"11,260 ","2,370 ","1,541 ","1,396 ",527 ,21 ,28 ,332 ,68 ,84 
,,,,,,,,,,24,"135,803 ","138,521 ","131,616 ","129,057 ","148,149 ","121,417 ","1,572 ","15,506 ","3,560 ","2,429 ","1,930 ",901 ,32 ,32 ,572 ,70 ,128 
,01528,경기,안산,상록,부곡,안산JCT ~ 조남JCT,322.2~325.1,2.9 ,11,수*,"194,128 ","195,828 ","188,789 ","183,477 ","202,778 ","158,629 ","1,924 ","22,648 ","6,150 ","5,393 ","3,280 ","2,410 ",52 ,48 ,"1,717 ",207 ,320 
,01529,경기,시흥,,조남,조남JCT ~ 목감IC,325.1~328.2,3.1 ,10,수*,"111,693 ","108,343 ","104,219 ","103,174 ","117,566 ","98,135 ","1,298 ","12,044 ","2,465 ","1,432 ","1,386 ",428 ,25 ,27 ,231 ,31 ,64 
,01530,경기,시흥,,목감,목감IC ~ 광명역IC,328.2~329.4,1.2 ,10,수*,"166,617 ","164,761 ","157,873 ","156,413 ","178,232 ","148,665 ","1,971 ","18,208 ","3,831 ","2,204 ","2,101 ",676 ,34 ,37 ,365 ,42 ,98 
,01530-1,경기,안양,만안,박달,광명역IC ~ 일직JCT,329.4~332.1,2.7 ,10,수*,"143,212 ","139,845 ","131,516 ","144,688 ","164,871 ","137,594 ","1,823 ","16,709 ","3,582 ","2,054 ","1,930 ",635 ,30 ,33 ,344 ,40 ,97 
,01531,경기,광명,,소하,일직JCT ~ 소하JCT,332.1~333.1,1.0 ,8,수*,"109,287 ","117,537 ","110,758 ","102,554 ","124,903 ","104,093 ","1,386 ","12,726 ","2,733 ","1,567 ","1,484 ",489 ,26 ,26 ,264 ,33 ,76 
,01532,서울,,금천,시흥,소하JCT ~ 금천IC,333.1~336.3,3.2 ,4,수*,"97,537 ","112,370 ","103,782 ","90,431 ","110,138 ","91,794 ","1,217 ","11,226 ","2,411 ","1,380 ","1,308 ",428 ,22 ,23 ,232 ,29 ,68 
울산선,언양 - 울산,,,,,,,14.3 ,,12,"40,074 ","38,800 ","35,851 ","35,433 ","33,616 ","24,540 ",738 ,"3,231 ","1,277 ","1,368 ","1,270 ",655 ,4 ,14 ,386 ,34 ,99 
,,,,,,,,,,24,"52,022 ","49,318 ","46,605 ","46,175 ","43,867 ","31,652 ","1,007 ","4,145 ","1,685 ","1,825 ","1,794 ",943 ,7 ,17 ,611 ,47 ,134 
,01601,울산,울주,언양,어음,언양JCT ~ 울산JCT,0~11.8,11.8 ,4,수*,"51,732 ","49,051 ","46,219 ","45,866 ","43,841 ","31,543 ","1,000 ","4,167 ","1,701 ","1,837 ","1,814 ",952 ,7 ,17 ,620 ,47 ,136 
,01602,울산,울주,범서,굴화,울산JCT ~ 종점IC,11.8~14.3,2.5 ,6,상,"55,829 ","50,581 ","48,427 ","47,636 ","43,985 ","32,168 ","1,042 ","4,039 ","1,607 ","1,766 ","1,698 ",903 ,6 ,17 ,570 ,45 ,124 
평택화성선,오성 - 봉담,,,,,,,26.7 ,,12,"58,866 ","66,092 ","65,545 ","72,289 ","71,855 ","53,633 ",965 ,"9,224 ","3,024 ","2,611 ","1,030 ",607 ,40 ,1 ,563 ,14 ,143 
,,,,,,,,,,24,"77,615 ","85,667 ","87,117 ","94,760 ","95,607 ","72,181 ","1,398 ","11,250 ","3,962 ","3,569 ","1,386 ",819 ,50 ,1 ,790 ,24 ,177 
,01701,경기,평택,오성,양교,오성IC ~ 평택JCT,0.9~2.6,1.7 ,6,수,"77,135 ","82,043 ","84,789 ","88,127 ","86,890 ","60,082 ",861 ,"11,452 ","4,614 ","5,241 ","1,436 ","1,832 ",10 ,-   ,"1,036 ",4 ,322 
,01702,경기,평택,청북,어연,평택JCT ~ 어연IC,2.6~5.3,2.7 ,6,수,"69,430 ","74,621 ","76,211 ","84,590 ","80,127 ","58,236 ","1,491 ","9,782 ","3,286 ","4,007 ","1,172 ","1,127 ",7 ,1 ,669 ,58 ,291 
,01703,경기,화성,양감,용소,어연IC ~ 양감IC,5.3~10,4.7 ,6,수,"70,512 ","75,476 ","78,645 ","84,127 ","86,520 ","65,441 ","1,598 ","9,185 ","3,550 ","3,571 ","1,451 ",758 ,5 ,-   ,787 ,34 ,140 
,01703-1,경기,화성,양감,송산,양감IC ~ 향남IC,10~13.8,3.8 ,6,수,-     ,"78,250 ","81,689 ","88,890 ","89,902 ","68,716 ","1,787 ","9,708 ","3,107 ","3,416 ","1,335 ",853 ,30 ,1 ,722 ,54 ,173 
,01704,경기,화성,정남,금복,향남IC ~ 서오산JCT,13.8~19.1,5.3 ,6,수,"87,164 ","94,039 ","96,550 ","102,000 ","103,698 ","80,570 ","1,832 ","10,645 ","4,143 ","3,571 ","1,095 ",903 ,88 ,2 ,719 ,9 ,121 
,01705,경기,화성,정남,관항,서오산JCT ~ 정남IC,19.1~21.8,2.7 ,6,수,"76,057 ","88,262 ","87,147 ","99,513 ","103,644 ","77,732 ",994 ,"12,480 ","6,225 ","3,546 ","1,572 ",181 ,95 ,1 ,750 ,13 ,55 
,01705-1,경기,화성,정남,보통,정남IC ~ 화성JCT,21.8~23.5,1.7 ,4,수,-     ,-     ,-     ,"110,793 ","115,481 ","86,924 ","1,021 ","17,110 ","3,033 ","3,629 ","1,850 ",736 ,14 ,6 ,913 ,5 ,240 
,01706,경기,화성,봉담,와우,화성JCT ~ 봉담IC,23.5~27.6,4.1 ,4,수,"83,971 ","96,136 ","94,665 ","102,700 ","101,137 ","76,707 ",833 ,"13,469 ","4,063 ","2,717 ","1,541 ",581 ,104 ,2 ,899 ,5 ,216 
수원광명선,금곡 - 소하,,,,,,,27.8 ,,12,"46,905 ","45,663 ","49,174 ","51,378 ","51,550 ","41,496 ",200 ,"6,401 ","1,648 ","1,021 ",406 ,153 ,15 ,-   ,154 ,7 ,49 
,,,,,,,,,,24,"63,597 ","61,445 ","67,757 ","70,800 ","71,754 ","57,882 ",324 ,"8,384 ","2,439 ","1,536 ",648 ,231 ,17 ,-   ,227 ,7 ,59 
,01706-1,경기,화성,매송,천천,봉담IC ~ 금곡IC,0~5.8,5.8 ,4,수,-     ,"44,166 ","43,012 ","46,365 ","46,007 ","35,014 ",221 ,"6,128 ","2,034 ","1,302 ",681 ,301 ,19 ,-   ,247 ,3 ,57 
,01707,경기,수원,권선,당수,금곡IC ~ 동안산·당수IC,5.8~8.8,3.0 ,4,수,"63,852 ","64,644 ","68,194 ","70,195 ","70,535 ","55,331 ",279 ,"9,089 ","2,734 ","1,733 ",655 ,332 ,21 ,-   ,296 ,4 ,61 
,01708,경기,수원,권선,당수,동안산·당수IC ~ 남군포IC,8.8~11.4,2.6 ,4,수,"77,153 ","81,722 ","83,749 ","85,822 ","85,172 ","68,863 ",400 ,"9,609 ","2,719 ","2,491 ",426 ,296 ,25 ,-   ,271 ,1 ,71 
,01709,경기,군포,,부곡,남군포IC ~ 동시흥JCT,11.4~20.8,9.4 ,6,수,"76,437 ","79,186 ","87,739 ","90,159 ","91,556 ","73,591 ",406 ,"11,259 ","3,095 ","1,814 ",783 ,231 ,15 ,-   ,272 ,15 ,75 
,01710,경기,광명,,가학,동시흥JCT ~ 성채·소하IC,20.8~27.8,7.0 ,4,수,"40,890 ","42,769 ","55,302 ","59,727 ","62,037 ","52,749 ",289 ,"5,637 ","1,664 ",917 ,517 ,106 ,14 ,-   ,105 ,5 ,34 
서울문산선,행주산성 - 내포,,,,,,,35.2 ,,12,-     ,-     ,-     ,"33,217 ","35,938 ","27,124 ",488 ,"4,330 ","1,598 ","1,032 ",962 ,160 ,96 ,-   ,112 ,-   ,36 
,,,,,,,,,,24,-     ,-     ,-     ,"43,337 ","49,748 ","37,548 ",675 ,"5,993 ","2,214 ","1,429 ","1,333 ",221 ,133 ,-   ,154 ,-   ,48 
,01720,경기,고양,덕양,강매,행주산성JCT ~ 봉대산JCT,0~1.9,1.9 ,4,수,-     ,-     ,-     ,"37,990 ","42,932 ","32,157 ",585 ,"5,261 ","1,945 ","1,266 ","1,207 ",202 ,128 ,-   ,139 ,-   ,42 
,01720-1,경기,고양,덕양,현천,남고양IC ~ 봉대산JCT(지선),1.9~4.2,2.3 ,4,수,-     ,-     ,-     ,"6,900 ","8,062 ","6,182 ",106 ,960 ,328 ,215 ,200 ,30 ,13 ,-   ,23 ,-   ,5 
,01721,경기,고양,덕양,도내,봉대산JCT ~ 흥도IC,4.2~5.9,1.7 ,6,수,-     ,-     ,-     ,"44,823 ","50,994 ","38,379 ",691 ,"6,209 ","2,261 ","1,479 ","1,397 ",231 ,135 ,-   ,152 ,-   ,60 
,01722,경기,고양,덕양,성사,흥도IC ~ 고양JCT,5.9~11.5,5.6 ,6,수,-     ,-     ,-     ,"61,713 ","65,283 ","49,246 ",880 ,"7,882 ","2,887 ","1,885 ","1,755 ",294 ,183 ,-   ,202 ,-   ,69 
,01723,경기,고양,덕양,원당,고양JCT ~ 사리현IC,11.5~14.3,2.8 ,6,수,-     ,-     ,-     ,"70,656 ","91,511 ","68,770 ","1,249 ","11,094 ","4,137 ","2,688 ","2,514 ",421 ,257 ,-   ,288 ,-   ,93 
,01724,경기,고양,일산동,성석,사리현IC ~ 북고양(설문)IC,14.3~19.9,5.6 ,6,수,-     ,-     ,-     ,"73,388 ","84,008 ","63,274 ","1,144 ","10,141 ","3,779 ","2,446 ","2,276 ",382 ,234 ,-   ,256 ,-   ,76 
,01725,경기,고양,일산동,설문,북고양(설문)IC ~ 금촌IC,19.9~23.4,3.5 ,4,수,-     ,-     ,-     ,"52,120 ","59,087 ","44,713 ",800 ,"7,074 ","2,619 ","1,675 ","1,552 ",255 ,154 ,-   ,189 ,-   ,56 
,01726,경기,파주,월롱,영태,금촌IC ~ 월롱IC,23.4~28.7,5.3 ,4,수,-     ,-     ,-     ,"23,789 ","29,991 ","22,823 ",407 ,"3,557 ","1,307 ",824 ,763 ,122 ,66 ,-   ,91 ,-   ,31 
,01727,경기,파주,월롱,덕은,월롱IC ~ 산단IC,28.7~32.8,4.1 ,4,수,-     ,-     ,-     ,"17,170 ","20,032 ","15,300 ",269 ,"2,367 ",862 ,542 ,500 ,79 ,38 ,-   ,61 ,-   ,14 
,01728,경기,파주,문산,내포,산단IC ~ 내포IC,32.8~35.2,2.4 ,2,수,-     ,-     ,-     ,"11,599 ","10,063 ","7,619 ",140 ,"1,210 ",454 ,275 ,266 ,38 ,26 ,-   ,35 ,-   ,-   
새만금포항선,소양 - 장수,,,,,,,44.2 ,,12,"11,730 ","11,983 ","11,162 ","12,349 ","12,051 ","7,460 ",270 ,"1,403 ",642 ,655 ,298 ,621 ,3 ,-   ,451 ,2 ,246 
,,,,,,,,,,24,"15,212 ","15,377 ","14,373 ","16,091 ","15,642 ","9,116 ",316 ,"1,720 ",980 ,"1,100 ",424 ,926 ,5 ,-   ,653 ,4 ,398 
,02000-3,전북,완주,소양,황운,소양IC ~ 진안IC,16.9~43.2,26.3 ,4,수*,"15,652 ","15,518 ","14,497 ","16,350 ","16,190 ","9,446 ",326 ,"1,781 ","1,011 ","1,134 ",440 ,959 ,5 ,-   ,674 ,4 ,410 
,02000-4,전북,진안,진안,반월,진안IC ~ 장수IC,43.2~59,15.8 ,4,수*,"14,668 ","15,251 ","14,367 ","15,919 ","14,778 ","8,589 ",300 ,"1,624 ",932 ,"1,049 ",401 ,875 ,5 ,-   ,620 ,4 ,379 
,02001,전북,장수,계남,호덕,장수IC ~ 장수JCT,59~61.1,2.1 ,4,수*,"13,806 ","14,572 ","13,295 ","15,026 ","15,309 ","8,952 ",320 ,"1,686 ",944 ,"1,067 ",405 ,902 ,5 ,-   ,638 ,4 ,386 
,팔공산 - 화산,,,,,,,26.5 ,,12,"27,521 ","28,982 ","28,037 ","30,246 ","29,885 ","22,432 ",383 ,"4,101 ",964 ,636 ,435 ,412 ,17 ,6 ,452 ,5 ,42 
,,,,,,,,,,24,"34,848 ","37,182 ","35,807 ","39,313 ","38,788 ","28,709 ",480 ,"4,970 ","1,208 ","1,130 ",655 ,627 ,18 ,8 ,928 ,6 ,49 
,02002-1,대구,,동,도,팔공산IC ~ 도동JCT,0~0.1,0.1 ,4,수*,"32,077 ","32,825 ","31,864 ","34,986 ","27,843 ","21,351 ",285 ,"4,064 ","1,194 ",604 ,187 ,52 ,9 ,-   ,76 ,6 ,15 
,02002,대구,,동,도,도동JCT ~ 청통와촌IC,0.1~18,17.9 ,4,수*,"36,978 ","40,156 ","39,086 ","41,471 ","40,898 ","30,251 ",505 ,"5,254 ","1,277 ","1,192 ",692 ,663 ,20 ,8 ,977 ,6 ,53 
,02003,경북,영천,청통,죽정,청통와촌IC ~ 화산JCT,18~26.5,8.5 ,4,수*,"30,395 ","30,967 ","28,944 ","34,814 ","34,475 ","25,549 ",430 ,"4,383 ","1,063 ","1,005 ",582 ,557 ,15 ,7 ,836 ,6 ,42 
새만금포항선,화산 - 포항,,,,,,,42.6 ,,12,"24,437 ","25,351 ","24,322 ","26,846 ","26,568 ","19,676 ",409 ,"3,064 ",587 ,681 ,618 ,674 ,19 ,6 ,779 ,3 ,52 
,,,,,,,,,,24,"31,690 ","32,345 ","31,027 ","35,251 ","34,890 ","25,384 ",521 ,"3,773 ",699 ,"1,150 ",892 ,963 ,21 ,8 ,"1,416 ",3 ,60 
,02003-1,경북,영천,화산,가상,화산JCT ~ 북영천IC,26.5~28.6,2.1 ,6,수*,"36,008 ","37,070 ","35,966 ","39,360 ","36,923 ","26,836 ",549 ,"4,086 ",751 ,"1,199 ",929 ,"1,015 ",20 ,8 ,"1,462 ",3 ,65 
,02004,경북,영천,,매산,북영천IC ~ 임고하이패스IC,28.6~37.6,9.0 ,6,상*,"31,060 ","33,827 ","34,074 ","35,604 ","35,596 ","25,840 ",524 ,"3,877 ",711 ,"1,188 ",908 ,991 ,21 ,9 ,"1,463 ",3 ,61 
,02004-1,경북,영천,임고,삼매,임고하이패스IC ~ 서포항IC,37.6~59.4,21.8 ,6,수*,-     ,"31,287 ","29,652 ","35,032 ","34,971 ","25,396 ",516 ,"3,781 ",697 ,"1,170 ",906 ,970 ,20 ,8 ,"1,445 ",3 ,59 
,02005,경북,포항,기계,내단,서포항IC ~ 포항IC,59.4~69.1,9.7 ,4,수*,"32,760 ","32,326 ","30,190 ","34,524 ","33,618 ","24,620 ",523 ,"3,591 ",680 ,"1,058 ",839 ,912 ,22 ,9 ,"1,298 ",5 ,61 
호남선,서순천 - 고서,,,,,,,68.3 ,,12,"26,058 ","26,099 ","25,100 ","27,192 ","27,293 ","20,242 ",619 ,"3,226 ",831 ,788 ,244 ,587 ,-   ,1 ,579 ,11 ,165 
,,,,,,,,,,24,"32,515 ","32,686 ","31,402 ","34,923 ","34,689 ","25,211 ",770 ,"4,005 ","1,174 ","1,176 ",509 ,796 ,-   ,1 ,838 ,15 ,194 
,02501,전남,순천,서,비월,서순천IC ~ 승주IC,0~10,10.0 ,4,수*,"33,291 ","31,811 ","29,092 ","34,104 ","35,770 ","25,871 ",797 ,"4,107 ","1,227 ","1,238 ",543 ,854 ,-   ,1 ,902 ,17 ,213 
,02502,전남,순천,승주,봉덕,승주IC ~ 주암IC,10~21.8,11.8 ,4,수*,"31,586 ","32,694 ","32,655 ","35,377 ","34,512 ","24,934 ",762 ,"3,981 ","1,191 ","1,202 ",527 ,821 ,-   ,1 ,876 ,16 ,201 
,02503,전남,순천,주암,고산,주암IC ~ 석곡IC,21.8~29.2,7.4 ,4,수*,"29,006 ","28,280 ","26,611 ","30,327 ","31,847 ","23,068 ",700 ,"3,680 ","1,090 ","1,091 ",469 ,752 ,-   ,1 ,797 ,15 ,184 
,02504,전남,곡성,석곡,능파,석곡IC ~ 곡성IC,29.2~41.3,12.1 ,4,수*,"29,593 ","29,624 ","27,871 ","31,672 ","32,885 ","23,791 ",717 ,"3,811 ","1,129 ","1,133 ",491 ,776 ,-   ,1 ,832 ,16 ,188 
,02505,전남,곡성,삼기,의암,곡성IC ~ 옥과IC,41.3~52.7,11.4 ,4,수*,"34,366 ","35,594 ","35,774 ","38,386 ","36,310 ","26,476 ",796 ,"4,189 ","1,203 ","1,208 ",498 ,842 ,-   ,1 ,876 ,15 ,206 
,02505-1,전남,곡성,오산,연화,옥과IC ~ 대덕JCT,52.7~60.4,7.7 ,4,수*,"41,309 ","40,708 ","38,564 ","43,162 ","41,045 ","29,825 ",904 ,"4,802 ","1,370 ","1,371 ",575 ,944 ,-   ,1 ,"1,007 ",17 ,229 
,02506,전남,담양,대덕,운암,대덕JCT ~ 창평IC,60.4~64.2,3.8 ,4,수*,"27,588 ","28,575 ","26,761 ","30,118 ","29,336 ","21,986 ",689 ,"3,339 ",921 ,888 ,404 ,503 ,-   ,-   ,486 ,8 ,112 
,02507,전남,담양,창평,의항,창평IC ~ 고서JCT,64.2~68.3,4.1 ,4,수*,"31,168 ","32,426 ","31,195 ","32,850 ","31,515 ","23,256 ",757 ,"3,597 ","1,061 ","1,034 ",506 ,584 ,2 ,1 ,562 ,10 ,145 
호남선,고서 - 장성,,,,,,,30.7 ,,12,"47,523 ","47,850 ","45,971 ","48,999 ","49,217 ","37,911 ","1,252 ","5,660 ","1,291 ","1,166 ",769 ,558 ,6 ,-   ,441 ,10 ,153 
,,,,,,,,,,24,"63,765 ","63,510 ","60,979 ","64,375 ","64,883 ","49,035 ","1,628 ","7,311 ","2,161 ","2,025 ",987 ,863 ,8 ,-   ,666 ,17 ,182 
,02508,전남,담양,고서,보촌,고서JCT ~ 문흥IC,68.3~73,4.7 ,6,상*,"49,264 ","45,087 ","46,327 ","50,019 ","48,816 ","37,440 ","1,185 ","5,486 ","1,470 ","1,332 ",688 ,576 ,5 ,-   ,488 ,16 ,130 
,02508-2,광주,,북,장,문흥IC ~ 동광주IC,73~74.2,1.2 ,6,수*,"66,423 ","58,997 ","57,574 ","54,563 ","52,900 ","40,356 ","1,278 ","5,956 ","1,660 ","1,514 ",771 ,653 ,5 ,-   ,548 ,18 ,141 
,02508-1,광주,,북,문흥,동광주IC ~ 용봉IC,74.2~77,2.8 ,4,수*,"97,597 ","92,590 ","88,993 ","95,325 ","94,950 ","72,038 ","2,327 ","10,723 ","3,093 ","2,839 ","1,424 ","1,215 ",10 ,-   ,991 ,30 ,260 
,02509,광주,,북,용봉,용봉IC ~ 서광주IC,77~78.4,1.4 ,5,수*,"125,647 ","115,246 ","110,568 ","117,877 ","120,389 ","90,972 ","2,991 ","13,606 ","3,998 ","3,752 ","1,828 ","1,615 ",11 ,-   ,"1,244 ",35 ,337 
,02510,광주,,북,매곡,서광주IC ~ 동림IC,78.4~80.6,2.2 ,4*,수*,"109,076 ","120,171 ","116,635 ","122,967 ","128,531 ","97,020 ","3,236 ","14,384 ","4,363 ","4,115 ","1,928 ","1,740 ",15 ,-   ,"1,337 ",36 ,357 
,02510-1,광주,,북,동림,동림IC ~ 산월IC,80.6~83,2.4 ,4,수*,"94,104 ","96,136 ","92,508 ","94,017 ","98,161 ","74,305 ","2,499 ","11,072 ","3,231 ","2,995 ","1,484 ","1,281 ",12 ,-   ,978 ,25 ,279 
,02510-2,광주,,광산,신창,산월IC ~ 광산IC,83~85,2.0 ,4,수*,"59,462 ","58,476 ","56,690 ","55,819 ","58,040 ","43,589 ","1,509 ","6,582 ","1,986 ","1,879 ",916 ,803 ,8 ,-   ,583 ,14 ,171 
,02510-3,광주,,광산,비아,광산IC ~ 북광산IC,85~87.1,2.1 ,4,수*,"46,862 ","43,205 ","40,743 ","41,995 ","43,272 ","32,488 ","1,127 ","4,892 ","1,490 ","1,412 ",681 ,603 ,7 ,-   ,440 ,8 ,124 
,02511,광주,장성,남면,월곡,북광산IC ~ 장성IC,87.1~93.7,6.6 ,4,수*,"43,080 ","45,519 ","42,371 ","45,975 ","44,869 ","33,683 ","1,138 ","5,059 ","1,554 ","1,485 ",710 ,629 ,7 ,-   ,464 ,10 ,130 
,02511-1,전남,장성,장성,단광,장성IC ~ 장성JCT,93.7~99,5.3 ,4,수*,"43,650 ","45,805 ","42,162 ","46,012 ","45,879 ","34,419 ","1,164 ","5,171 ","1,597 ","1,533 ",724 ,647 ,7 ,-   ,476 ,10 ,131 
호남선,장성 - 익산,,,,,,,78.8 ,,12,"30,235 ","31,311 ","29,006 ","30,738 ","31,193 ","21,403 ",810 ,"3,539 ","1,389 ","2,429 ",632 ,638 ,3 ,-   ,240 ,41 ,69 
,,,,,,,,,,24,"40,775 ","41,208 ","39,288 ","41,950 ","42,526 ","27,908 ","1,064 ","4,631 ","2,053 ","4,170 ","1,095 ",933 ,3 ,-   ,505 ,71 ,93 
,02512,전남,장성,장성,수산,장성JCT ~ 백양사IC,99~111.1,12.1 ,4,수*,"36,087 ","35,985 ","36,200 ","38,214 ","40,343 ","26,398 ","1,017 ","4,461 ","1,952 ","3,972 ","1,031 ",883 ,3 ,-   ,477 ,65 ,84 
,02513,전남,장성,북이,신평,백양사IC ~ 내장산IC,111.1~120.3,9.2 ,4,수*,"37,494 ","37,892 ","34,608 ","36,867 ","39,388 ","25,742 ",988 ,"4,314 ","1,909 ","3,914 ","1,025 ",868 ,3 ,-   ,476 ,65 ,84 
,02514,전북,정읍,입암,단곡,내장산IC ~ 정읍IC,120.3~128.7,8.4 ,4,수*,"37,795 ","38,985 ","35,673 ","37,911 ","38,751 ","25,270 ",966 ,"4,222 ","1,891 ","3,888 ","1,025 ",859 ,3 ,-   ,478 ,65 ,84 
,02515,전북,정읍,,농소,정읍IC ~ 태인IC,128.7~141.6,12.9 ,4,수*,"39,702 ","40,032 ","38,501 ","40,005 ","40,947 ","26,843 ","1,023 ","4,426 ","1,979 ","4,040 ","1,074 ",905 ,3 ,-   ,495 ,67 ,92 
,02516,전북,정읍,태인,오봉,태인IC ~ 금산사IC,141.6~152.1,10.5 ,4,상*,"43,372 ","42,475 ","40,663 ","42,385 ","43,167 ","28,347 ","1,076 ","4,674 ","2,088 ","4,236 ","1,116 ",946 ,3 ,-   ,514 ,73 ,94 
,02517,전북,김제,금산,성계,금산사IC ~ 김제IC,152.1~156.8,4.7 ,4,수*,"41,114 ","42,064 ","39,721 ","43,220 ","43,584 ","28,883 ","1,085 ","4,726 ","2,091 ","4,116 ","1,068 ",950 ,3 ,-   ,495 ,73 ,94 
,02518,전북,김제,금구,금구,김제IC ~ 서전주IC,156.8~163.4,6.6 ,4,수*,"43,065 ","44,398 ","42,254 ","45,804 ","44,397 ","29,238 ","1,107 ","4,816 ","2,137 ","4,287 ","1,143 ",976 ,3 ,-   ,518 ,73 ,99 
,02519,전북,완주,이서,반교,서전주IC ~ 전주IC,163.4~169.4,6.0 ,4,수*,"41,433 ","43,267 ","41,154 ","44,607 ","43,877 ","28,874 ","1,095 ","4,758 ","2,107 ","4,271 ","1,130 ",956 ,3 ,-   ,514 ,72 ,97 
,02520,전북,전주,덕진,용정,전주IC ~ 삼례IC,169.4~175.5,6.1 ,4,수*,"50,246 ","49,776 ","46,847 ","53,160 ","50,940 ","33,545 ","1,283 ","5,537 ","2,438 ","4,954 ","1,286 ","1,103 ",3 ,-   ,591 ,86 ,114 
,02521,전북,익산,왕궁,온수,삼례IC ~ 익산JCT,175.5~177.8,2.3 ,6,상*,"49,906 ","52,320 ","51,642 ","55,844 ","52,852 ","34,847 ","1,331 ","5,766 ","2,529 ","5,118 ","1,306 ","1,141 ",3 ,-   ,601 ,93 ,117 
호남선,익산 - 논산,,,,,,,16.4 ,,12,"50,784 ","61,422 ","56,932 ","62,888 ","58,538 ","39,591 ","1,811 ","5,652 ","2,514 ","3,351 ","2,188 ","1,818 ",4 ,-   ,"1,239 ",71 ,299 
,,,,,,,,,,24,"70,455 ","81,464 ","78,230 ","85,650 ","79,657 ","51,636 ","2,319 ","7,511 ","3,421 ","6,113 ","2,958 ","2,990 ",20 ,56 ,"2,216 ",77 ,340 
,02521-1,전북,익산,왕궁,구덕,익산JCT ~ 익산IC,177.8~181.5,3.7 ,8,수*,"79,975 ","83,003 ","81,247 ","88,327 ","77,386 ","50,142 ","2,254 ","7,293 ","3,326 ","5,954 ","2,870 ","2,913 ",20 ,53 ,"2,156 ",76 ,329 
,02522,전북,완주,봉동,재내,익산IC ~ 논산JCT,181.5~194.2,12.7 ,8,수*,"67,682 ","81,017 ","77,350 ","84,870 ","80,320 ","52,071 ","2,338 ","7,575 ","3,449 ","6,159 ","2,984 ","3,013 ",20 ,57 ,"2,234 ",77 ,343 
논산천안선,논산 - 천안,,,,,,,80.9 ,,12,"34,721 ","35,405 ","37,039 ","38,899 ","38,483 ","26,734 ","1,485 ","3,482 ","1,146 ","2,187 ",300 ,"2,175 ",28 ,-   ,719 ,9 ,218 
,,,,,,,,,,24,"48,478 ","48,674 ","52,106 ","54,733 ","54,000 ","36,162 ","1,990 ","4,726 ","1,778 ","3,670 ",478 ,"3,660 ",40 ,-   ,"1,176 ",12 ,308 
,02525,충남,논산,연무,고내,논산JCT ~ 연무IC,194.2~202.6,8.4 ,4,수,"37,120 ","36,126 ","38,799 ","39,983 ","38,951 ","24,922 ","1,496 ","3,401 ","1,236 ","2,586 ",482 ,"3,424 ",37 ,-   ,"1,051 ",10 ,306 
,02526,충남,논산,채운,화정,연무IC ~ 서논산IC,202.6~211.3,8.7 ,4,수,"39,223 ","38,626 ","41,552 ","43,813 ","43,787 ","28,022 ","1,680 ","3,823 ","1,393 ","2,907 ",543 ,"3,846 ",37 ,-   ,"1,188 ",10 ,338 
,02527,충남,논산,광석,갈산,서논산IC ~ 탄천IC,211.3~219.7,8.4 ,4,수,"39,978 ","40,665 ","43,017 ","45,733 ","45,109 ","28,855 ","1,731 ","3,941 ","1,435 ","2,996 ",563 ,"3,964 ",40 ,-   ,"1,222 ",10 ,352 
,02528,충남,공주,탄천,안영,탄천IC ~ 남공주IC,219.7~234.2,14.5 ,4,수,"40,078 ","40,730 ","43,272 ","46,024 ","45,065 ","28,835 ","1,731 ","3,933 ","1,434 ","2,993 ",562 ,"3,960 ",37 ,-   ,"1,221 ",10 ,349 
,02529,충남,공주,,태봉,남공주IC ~ 공주JCT,234.2~241.2,7.0 ,4,수,"42,141 ","42,916 ","45,864 ","48,534 ","47,695 ","30,524 ","1,825 ","4,164 ","1,515 ","3,168 ",592 ,"4,194 ",41 ,-   ,"1,290 ",10 ,372 
,02529-1,충남,공주,우성,도천,공주JCT ~ 북공주JCT,241.2~243.4,2.2 ,4,수,"48,183 ","48,578 ","51,987 ","54,827 ","53,911 ","37,555 ","1,911 ","4,728 ","1,832 ","3,741 ",301 ,"2,675 ",37 ,-   ,913 ,14 ,204 
,02529-2,충남,공주,우성,동곡,북공주JCT ~ 정안IC,243.4~257.4,14.0 ,4,수,"56,952 ","56,557 ","61,895 ","64,923 ","64,304 ","44,792 ","2,282 ","5,637 ","2,184 ","4,460 ",359 ,"3,191 ",43 ,-   ,"1,093 ",15 ,248 
