"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
,00108-1,경북,영천,북안,반정,영천JCT ~ 영천IC,90.8~96.4,5.6 ,6,수*,"27,327 ","33,519 ","30,651 ","34,601 ","33,689 ","21,314 ",542 ,"3,680 ","1,810 ","2,622 ","1,424 ","1,165 ",10 ,91 ,630 ,223 ,178 
,00109,경북,영천,,본촌,영천IC ~ 경산IC,96.4~112.8,16.4 ,6,수*,"41,812 ","50,548 ","47,778 ","49,682 ","41,928 ","26,691 ",670 ,"4,603 ","2,210 ","3,193 ","1,754 ","1,435 ",13 ,106 ,773 ,271 ,209 
,00110,경북,경산,진량,선화,경산IC ~ 동대구JCT,112.8~122.1,9.3 ,8,수*,"69,925 ","75,133 ","74,842 ","69,489 ","68,625 ","43,753 ","1,107 ","7,565 ","3,621 ","5,181 ","2,841 ","2,332 ",19 ,179 ,"1,261 ",436 ,330 
,동대구 - 금호,,,,,,,17.3 ,,12,"94,002 ","103,918 ","101,324 ","103,908 ","99,048 ","62,934 ","1,095 ","17,939 ","4,422 ","4,662 ","3,170 ","2,010 ",8 ,10 ,"2,238 ",54 ,506 
,,,,,,,,,,24,"126,560 ","134,446 ","130,951 ","136,986 ","129,875 ","80,757 ","1,347 ","20,992 ","6,927 ","7,737 ","3,987 ","3,043 ",24 ,15 ,"3,725 ",187 ,"1,134 "
,00110-1,대구,,동,숙천,동대구JCT ~ 도동JCT,122.1~126.2,4.1 ,8,수*,"105,684 ","112,831 ","109,530 ","116,883 ","111,778 ","69,685 ","1,281 ","16,978 ","6,005 ","7,032 ","3,666 ","2,851 ",27 ,65 ,"3,016 ",264 ,908 
,00111,대구,,동,검사,도동JCT ~ 북대구IC,126.2~133.9,7.7 ,8,수*,"128,812 ","135,135 ","132,091 ","140,528 ","129,966 ","80,689 ","1,309 ","21,392 ","6,920 ","7,646 ","3,923 ","2,982 ",23 ,-   ,"3,780 ",157 ,"1,145 "
,00112,대구,,북,서변,북대구IC ~ 금호JCT,133.9~139.4,5.5 ,8*,수*,"138,967 ","149,595 ","144,977 ","146,776 ","143,239 ","89,105 ","1,450 ","23,424 ","7,625 ","8,391 ","4,315 ","3,270 ",24 ,-   ,"4,176 ",173 ,"1,286 "
경부선,금호 - 김천,,,,,,,43.8 ,,12,"61,813 ","67,717 ","65,192 ","69,721 ","72,871 ","48,840 ","1,147 ","9,816 ","4,005 ","3,980 ","1,637 ","1,507 ",2 ,19 ,"1,141 ",135 ,642 
,,,,,,,,,,24,"86,251 ","93,475 ","88,691 ","95,899 ","99,791 ","64,783 ","1,539 ","12,534 ","5,366 ","7,032 ","2,323 ","2,310 ",66 ,76 ,"2,897 ",156 ,709 
,00113,경북,칠곡,지천,용산,금호JCT ~ 칠곡JCT,139.4~143.4,4.0 ,8,수*,"103,053 ","107,877 ","104,824 ","114,976 ","117,356 ","75,035 ","1,509 ","16,848 ","6,223 ","7,443 ","3,084 ","2,658 ",45 ,40 ,"3,372 ",162 ,937 
,00113-2,대구,달성,하빈,대평,칠곡JCT ~ 칠곡물류IC,143.4~150.1,6.7 ,8,수*,-     ,-     ,-     ,-     ,"122,297 ","80,058 ","1,944 ","15,128 ","6,538 ","8,462 ","2,767 ","2,778 ",78 ,93 ,"3,396 ",192 ,863 
,00113-1,경북,칠곡,지천,연화,칠곡물류IC ~ 왜관IC,150.1~153.3,3.2 ,8,수*,"105,977 ","113,822 ","107,716 ","111,152 ","116,819 ","76,223 ","1,844 ","14,390 ","6,264 ","8,223 ","2,660 ","2,694 ",80 ,96 ,"3,340 ",185 ,820 
,00114,경북,칠곡,왜관,삼청,왜관IC ~ 남구미IC,153.3~167.3,14.0 ,8,수*,"85,675 ","92,509 ","87,956 ","97,082 ","102,381 ","66,561 ","1,612 ","12,624 ","5,524 ","7,320 ","2,343 ","2,376 ",71 ,83 ,"2,987 ",161 ,719 
